"FullName","Timestamp","KB"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source10.vcxproj.filters","2025-11-16 03:39:45.039","0.61"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source100.vcxproj.filters","2025-11-16 03:39:46.523","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source101.vcxproj.filters","2025-11-16 03:39:46.560","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source102.vcxproj.filters","2025-11-16 03:39:46.582","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\Source103.vcxproj.filters","2025-11-16 03:39:46.602","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source104.vcxproj.filters","2025-11-16 03:39:46.623","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source105.vcxproj.filters","2025-11-16 03:39:46.641","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source106.vcxproj.filters","2025-11-16 03:39:46.720","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source107.vcxproj.filters","2025-11-16 03:39:46.868","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source108.vcxproj.filters","2025-11-16 03:39:46.907","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source109.vcxproj.filters","2025-11-16 03:39:47.112","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source110.vcxproj.filters","2025-11-16 03:39:47.194","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source111.vcxproj.filters","2025-11-16 03:39:47.206","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source112.vcxproj.filters","2025-11-16 03:39:47.236","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source113.vcxproj.filters","2025-11-16 03:39:47.252","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source114.vcxproj.filters","2025-11-16 03:39:47.267","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\Source115.vcxproj.filters","2025-11-16 03:39:47.695","0.62"
"C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\source116.vcxproj.filters","2025-11-16 03:39:47.731","0.62"
